State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Assam,Darrang,Tangni,"Bhindi(Ladies Finger)",Bhindi,Local,12/04/2025,1800,2000,1800
Assam,Darrang,Tangni,Brinjal,Brinjal,Local,12/04/2025,1400,1800,1400
Assam,Darrang,Tangni,Capsicum,Capsicum,Local,12/04/2025,1200,1600,1300
Assam,Darrang,Tangni,"Green Chilli","Green Chilly",Local,12/04/2025,1500,2000,1600
Assam,Darrang,Tangni,Pumpkin,Pumpkin,Local,12/04/2025,500,700,600
Assam,Goalpara,Jaleswar,"Bhindi(Ladies Finger)",Bhindi,Local,12/04/2025,2000,2400,2400
Assam,Goalpara,Jaleswar,Cabbage,Cabbage,Local,12/04/2025,500,800,700
Assam,Goalpara,Jaleswar,Pumpkin,Pumpkin,Local,12/04/2025,500,800,700
Assam,Goalpara,Jaleswar,Tomato,Tomato,Local,12/04/2025,400,500,500
Assam,"Karbi Anglong",Sariahjan,Brinjal,Brinjal,Local,12/04/2025,1500,1700,1600
Assam,"Karbi Anglong",Sariahjan,Cabbage,Cabbage,Local,12/04/2025,400,500,500
Assam,"Karbi Anglong",Sariahjan,Cauliflower,Cauliflower,Local,12/04/2025,1200,1400,1200
Assam,"Karbi Anglong",Sariahjan,"Green Chilli","Green Chilly",Local,12/04/2025,1800,2200,2000
Assam,"Karbi Anglong",Sariahjan,Tomato,Tomato,Local,12/04/2025,400,500,400
Assam,Nalbari,Dhamdhama,"Bhindi(Ladies Finger)",Bhindi,Local,12/04/2025,2600,3000,3000
Assam,Nalbari,Dhamdhama,Brinjal,Brinjal,Local,12/04/2025,1800,2400,2000
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,12/04/2025,1500,1700,1600
Gujarat,Ahmedabad,Dholka,Wheat,Other,FAQ,12/04/2025,2475,2595,2485
Gujarat,Amreli,Babra,Wheat,Other,FAQ,12/04/2025,2275,2625,2550
Gujarat,Navsari,Navsari,Cauliflower,"African Sarson",FAQ,12/04/2025,1500,2000,1750
Gujarat,Navsari,Navsari,Coriander(Leaves),Coriander,FAQ,12/04/2025,4000,5000,4500
Gujarat,Navsari,Navsari,"Green Chilli","Green Chilly",FAQ,12/04/2025,3000,6500,4750
Gujarat,Navsari,Navsari,Mango,Badami,Medium,12/04/2025,4000,5000,4500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Bhindi(Ladies Finger)",Bhindi,FAQ,12/04/2025,4000,5000,4500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Potato,Desi,FAQ,12/04/2025,750,1500,1125
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Tomato,Tomato,FAQ,12/04/2025,500,1000,750
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,12/04/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Cauliflower,Other,FAQ,12/04/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Grapes,Other,Large,12/04/2025,8000,10000,9000
Haryana,Gurgaon,Gurgaon,"Karbuja(Musk Melon)",Other,Large,12/04/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Onion,Other,Non-FAQ,12/04/2025,800,1000,900
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,12/04/2025,800,1000,900
Haryana,Hissar,Uklana,Capsicum,Capsicum,FAQ,12/04/2025,2000,2000,2000
Haryana,Hissar,Uklana,"Long Melon(Kakri)",Other,FAQ,12/04/2025,1200,1200,1200
Haryana,Kurukshetra,Pehowa,Potato,Other,Non-FAQ,12/04/2025,700,900,900
Haryana,Panipat,Panipat,Banana,Other,Medium,12/04/2025,2500,2700,2600
Haryana,Panipat,Panipat,Tomato,Other,FAQ,12/04/2025,1000,1400,1200
Haryana,Panipat,Panipat(Baharpur),Wheat,Other,FAQ,12/04/2025,2425,2425,2425
Haryana,Sirsa,Kalawali(Odhan),Mustard,"Big 100 Kg",FAQ,12/04/2025,5950,5950,5950
Haryana,"Yamuna Nagar",Chhachrauli,Carrot,Carrot,FAQ,12/04/2025,4000,4000,4000
Haryana,"Yamuna Nagar",Chhachrauli,Methi(Leaves),Other,FAQ,12/04/2025,1100,1200,1100
Haryana,"Yamuna Nagar",Chhachrauli,"Onion Green",Other,FAQ,12/04/2025,1000,1000,1000
Haryana,"Yamuna Nagar",Chhachrauli,Pumpkin,Pumpkin,FAQ,12/04/2025,600,700,600
Haryana,"Yamuna Nagar",Chhachrauli,Raddish,Raddish,FAQ,12/04/2025,600,600,600
Haryana,"Yamuna Nagar",Radaur,"Bitter gourd",Other,FAQ,12/04/2025,3500,4000,3800
Haryana,"Yamuna Nagar",Radaur,Brinjal,Other,FAQ,12/04/2025,700,1000,900
Haryana,"Yamuna Nagar",Radaur,Mango,Other,Medium,12/04/2025,4000,5000,4500
Haryana,"Yamuna Nagar",Radaur,Tomato,Other,FAQ,12/04/2025,800,1200,1000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Apple,Apple,Medium,12/04/2025,14000,16000,15000
